"id" "setsize" "setsize_lin" "n_IIP" "n_IOP" "n_NPL" "IIP" "IOP" "NPL" "total"
"463" 11 "8" 3 1 8 4 19 2 2 23
"464" 12 "8" 3 1 8 4 9 13 1 23
"465" 13 "8" 3 1 8 4 14 5 4 23
"466" 14 "8" 3 1 8 4 11 7 5 23
"467" 15 "8" 3 1 8 4 17 5 1 23
"468" 16 "8" 3 1 8 4 10 9 4 23
"469" 17 "8" 3 1 8 4 19 3 1 23
"470" 18 "8" 3 1 8 4 21 2 0 23
"471" 19 "8" 3 1 8 4 16 6 1 23
"472" 2 "8" 3 1 8 4 18 4 1 23
"473" 20 "8" 3 1 8 4 17 6 0 23
"474" 3 "8" 3 1 8 4 16 7 0 23
"475" 4 "8" 3 1 8 4 12 8 3 23
"476" 5 "8" 3 1 8 4 11 7 5 23
"477" 6 "8" 3 1 8 4 8 9 6 23
"478" 7 "8" 3 1 8 4 8 10 5 23
"479" 8 "8" 3 1 8 4 19 4 0 23
"480" 9 "8" 3 1 8 4 7 14 2 23
